Reference,Age (Ma),Age old,Age young,CO2 (ppm),type,CO2 low,CO2 high,CO2 range,Distribution,Proxy type
"Royer et al., 2001b (updated by Beerling et al., 2009)",56.7,56.9,56.5,318,median,307,328,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5 percentiles, determined by the Monte Carlo approach of Beerling et al. (2009); uncertainties adjusted to 16 and 84 percentiles here using the average scaling factors found in the Beerling et al. (2009) output (84 percentile approximates 60% of the offset between 97.5 percentile and median; 16 percentile approximates 70% of the offset between median and 2.5 percentile)",right skewed (mode < mean),stomata
"Royer et al., 2001b (updated by Beerling et al., 2009)",57.2,57.4,57.0,469,median,379,631,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5 percentiles, determined by the Monte Carlo approach of Beerling et al. (2009); uncertainties adjusted to 16 and 84 percentiles here using the average scaling factors found in the Beerling et al. (2009) output (84 percentile approximates 60% of the offset between 97.5 percentile and median; 16 percentile approximates 70% of the offset between median and 2.5 percentile)",right skewed (mode < mean),stomata
"Royer et al., 2001b (updated by Beerling et al., 2009)",58.1,58.4,57.8,447,median,367,623,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5 percentiles, determined by the Monte Carlo approach of Beerling et al. (2009); uncertainties adjusted to 16 and 84 percentiles here using the average scaling factors found in the Beerling et al. (2009) output (84 percentile approximates 60% of the offset between 97.5 percentile and median; 16 percentile approximates 70% of the offset between median and 2.5 percentile)",right skewed (mode < mean),stomata
"Royer et al., 2001b (updated by Beerling et al., 2009)",59.9,60.8,59.0,535,median,416,680,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5 percentiles, determined by the Monte Carlo approach of Beerling et al. (2009); uncertainties adjusted to 16 and 84 percentiles here using the average scaling factors found in the Beerling et al. (2009) output (84 percentile approximates 60% of the offset between 97.5 percentile and median; 16 percentile approximates 70% of the offset between median and 2.5 percentile)",right skewed (mode < mean),stomata
"Royer et al., 2001b (updated by Beerling et al., 2009)",59.9,60.8,59.0,574,median,433,704,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5 percentiles, determined by the Monte Carlo approach of Beerling et al. (2009); uncertainties adjusted to 16 and 84 percentiles here using the average scaling factors found in the Beerling et al. (2009) output (84 percentile approximates 60% of the offset between 97.5 percentile and median; 16 percentile approximates 70% of the offset between median and 2.5 percentile)",right skewed (mode < mean),stomata
"Beerling, 2002",270.6,272.3,268.8,343,mean,240,566,"16 and 84 percentiles; reported range corresponds to +/- one standard error of the regression function, and so likely underestimates true uncertainty (uncertainty in the fossil measurements are not taken into account, for example); uncertainties calculated here as +65%/-30% of the best-estimate, a conservative envelope taken from the fully propagated error analysis of Beerling et al. (2009)",right skewed (mode < mean); reported distribution is gaussian,stomata
"Beerling, 2002",270.6,272.3,268.8,266,mean,186,439,"16 and 84 percentiles; reported range corresponds to +/- one standard error of the regression function, and so likely underestimates true uncertainty (uncertainty in the fossil measurements are not taken into account, for example); uncertainties calculated here as +65%/-30% of the best-estimate, a conservative envelope taken from the fully propagated error analysis of Beerling et al. (2009)",right skewed (mode < mean); reported distribution is gaussian,stomata
"Beerling, 2002",270.6,272.3,268.8,290,mean,203,479,"16 and 84 percentiles; reported range corresponds to +/- one standard error of the regression function, and so likely underestimates true uncertainty (uncertainty in the fossil measurements are not taken into account, for example); uncertainties calculated here as +65%/-30% of the best-estimate, a conservative envelope taken from the fully propagated error analysis of Beerling et al. (2009)",right skewed (mode < mean); reported distribution is gaussian,stomata
"Beerling, 2002",270.6,272.3,268.8,326,mean,228,538,"16 and 84 percentiles; reported range corresponds to +/- one standard error of the regression function, and so likely underestimates true uncertainty (uncertainty in the fossil measurements are not taken into account, for example); uncertainties calculated here as +65%/-30% of the best-estimate, a conservative envelope taken from the fully propagated error analysis of Beerling et al. (2009)",right skewed (mode < mean); reported distribution is gaussian,stomata
"Beerling, 2002",270.6,272.3,268.8,342,mean,239,564,"16 and 84 percentiles; reported range corresponds to +/- one standard error of the regression function, and so likely underestimates true uncertainty (uncertainty in the fossil measurements are not taken into account, for example); uncertainties calculated here as +65%/-30% of the best-estimate, a conservative envelope taken from the fully propagated error analysis of Beerling et al. (2009)",right skewed (mode < mean); reported distribution is gaussian,stomata
"Beerling, 2002",313.5,319.0,308.0,348,mean,244,574,"16 and 84 percentiles; reported range corresponds to +/- one standard error of the regression function, and so likely underestimates true uncertainty (uncertainty in the fossil measurements are not taken into account, for example); uncertainties calculated here as +65%/-30% of the best-estimate, a conservative envelope taken from the fully propagated error analysis of Beerling et al. (2009)",right skewed (mode < mean); reported distribution is gaussian,stomata
"Beerling, 2002",313.5,319.0,308.0,351,mean,246,579,"16 and 84 percentiles; reported range corresponds to +/- one standard error of the regression function, and so likely underestimates true uncertainty (uncertainty in the fossil measurements are not taken into account, for example); uncertainties calculated here as +65%/-30% of the best-estimate, a conservative envelope taken from the fully propagated error analysis of Beerling et al. (2009)",right skewed (mode < mean); reported distribution is gaussian,stomata
"Beerling, 2002",313.5,319.0,308.0,336,mean,235,554,"16 and 84 percentiles; reported range corresponds to +/- one standard error of the regression function, and so likely underestimates true uncertainty (uncertainty in the fossil measurements are not taken into account, for example); uncertainties calculated here as +65%/-30% of the best-estimate, a conservative envelope taken from the fully propagated error analysis of Beerling et al. (2009)",right skewed (mode < mean); reported distribution is gaussian,stomata
"Beerling, 2002",313.5,319.0,308.0,308,mean,216,508,"16 and 84 percentiles; reported range corresponds to +/- one standard error of the regression function, and so likely underestimates true uncertainty (uncertainty in the fossil measurements are not taken into account, for example); uncertainties calculated here as +65%/-30% of the best-estimate, a conservative envelope taken from the fully propagated error analysis of Beerling et al. (2009)",right skewed (mode < mean); reported distribution is gaussian,stomata
"Beerling, 2002",313.5,319.0,308.0,350,mean,245,578,"16 and 84 percentiles; reported range corresponds to +/- one standard error of the regression function, and so likely underestimates true uncertainty (uncertainty in the fossil measurements are not taken into account, for example); uncertainties calculated here as +65%/-30% of the best-estimate, a conservative envelope taken from the fully propagated error analysis of Beerling et al. (2009)",right skewed (mode < mean); reported distribution is gaussian,stomata
"Beerling, 2002",313.5,319.0,308.0,366,mean,256,604,"16 and 84 percentiles; reported range corresponds to +/- one standard error of the regression function, and so likely underestimates true uncertainty (uncertainty in the fossil measurements are not taken into account, for example); uncertainties calculated here as +65%/-30% of the best-estimate, a conservative envelope taken from the fully propagated error analysis of Beerling et al. (2009)",right skewed (mode < mean); reported distribution is gaussian,stomata
"Beerling, 2002",313.5,319.0,308.0,368,mean,258,607,"16 and 84 percentiles; reported range corresponds to +/- one standard error of the regression function, and so likely underestimates true uncertainty (uncertainty in the fossil measurements are not taken into account, for example); uncertainties calculated here as +65%/-30% of the best-estimate, a conservative envelope taken from the fully propagated error analysis of Beerling et al. (2009)",right skewed (mode < mean); reported distribution is gaussian,stomata
"Beerling, 2002",313.5,319.0,308.0,358,mean,251,591,"16 and 84 percentiles; reported range corresponds to +/- one standard error of the regression function, and so likely underestimates true uncertainty (uncertainty in the fossil measurements are not taken into account, for example); uncertainties calculated here as +65%/-30% of the best-estimate, a conservative envelope taken from the fully propagated error analysis of Beerling et al. (2009)",right skewed (mode < mean); reported distribution is gaussian,stomata
